gene	Ds	pval	padj
YBL017C	16.5567506300711	0	0
YBR006W	-26.3346456757359	0	0
YBR023C	18.2077046044299	0	0
YBR039W	-27.6613679931366	0	0
YBR121C	-32.7186775913908	0	0
YBL067C	-25.5609100771941	4.82850134420976e-307	2.22915812057684e-305
YBL052C	24.6257478761727	7.26364747717188e-223	2.51503793897076e-221
YBL061C	23.9226054570548	4.67819852942603e-211	1.43984554739001e-209
YBR162W-A	-3.11046343563838	8.57254730119706e-178	2.37459560243159e-176
YBR161W	13.8279474932153	9.82622800918837e-106	2.26822096545432e-104
YBL003C	-4.19847808240255	5.1964924531945e-103	1.10725262271914e-101
YBR225W	13.4149548647111	6.4269334028266e-103	1.27161468041641e-101
YBR203W	10.6629850364627	7.02368199407009e-21	6.94842825841934e-20
YAL054C	-3.1805025752741	1.80946689382427e-16	1.72835286065284e-15
YBR295W	9.67791801936358	2.28926136502023e-16	2.11375132703535e-15
YBR296C	9.30290660727171	2.36023239071828e-14	2.10898184589988e-13
YBR093C	-3.40798742790801	2.00916389468933e-13	1.73918249634045e-12
YBR084C-A	9.11527727298199	2.57854085586531e-13	2.164411566893e-12
YBR184W	-15.2971031957146	1.90180856743423e-12	1.54941462699789e-11
YBR156C	-15.10487255485	3.10952877910847e-11	2.46096991946585e-10
YBL045C	8.74743526840298	2.24860038205826e-10	1.6752650680357e-09
YBR211C	8.83205164938185	2.29819756625836e-10	1.6752650680357e-09
YBR175W	-9.29322141796793	7.46451552866191e-10	5.30172000369064e-09
YBR260C	8.59396786414482	6.1189233992215e-09	4.23735445396089e-08
YBR035C	2.1871526988898	2.08921415118281e-08	1.41149346311619e-07
YBR015C	-1.55009599585459	2.5144638411962e-08	1.65834877145559e-07
YBR218C	8.34981937289533	5.06126915693087e-08	3.25223736384325e-07
YBR244W	8.30806489068964	5.16600880899288e-08	3.25223736384325e-07
YBL054W	2.8341173250082	8.07918244515885e-08	4.97318563846445e-07
YBL040C	7.85978512550703	5.67754708991627e-06	3.27641779980585e-05
YBR117C	-2.07135794086609	2.15793728644816e-05	0.000121989515989008
YBL103C	7.60938746583251	3.47531850741136e-05	0.000189747781948227
YBR270C	-1.7014289300971	3.4935512199854e-05	0.000189747781948227
YBR008C	1.03566759072034	3.91024884830601e-05	0.000208295948265532
YBL026W	7.50615085133225	5.64749784425959e-05	0.000295161679784888
YBL022C	0.792377149588471	7.40429250345774e-05	0.000379812782121814
YAL062W	7.47110168494036	7.6562991161926e-05	0.000385599064579155
YAL018C	-2.96325319131017	1	1
YBL083C	0.373945070392578	1	1
YBR012W-A	-2.82952533010526	1	1
YBR300C	0.869273808837717	1	1
