cluster	chr	start	end	strand	dominant_tss	tags	tags.dominant_tss	q_0.1	q_0.9	interquantile_width	shape.score
1	chrI	6521	6564	+	6559	5.067037	1.753975	6530	6559	30	13.1232854382277
2	chrI	7096	7118	+	7100	1.94886	0.584658	7096	7114	19	9.33337524056354
4	chrI	8061	8087	+	8061	1.94886	0.584658	8061	8087	27	9.01270783399652
5	chrI	9327	9476	+	9359	11.498278	1.753975	9327	9452	126	25.6641079461102
7	chrI	11259	11343	+	11329	59.245376	21.827244	11288	11329	42	15.0204081014171
8	chrI	11907	11934	+	11919	2.338633	0.974431	11916	11922	7	4.7317263842427
11	chrI	12486	12879	+	12682	98.612361	10.134078	12586	12779	194	36.0177309380103
13	chrI	12929	12986	+	12933	6.041468	2.728406	12931	12949	19	8.54684513860841
14	chrI	13102	13172	+	13102	1.169316	0.389772	13102	13172	71	13.846949986336
15	chrI	13239	13293	+	13239	1.169316	0.389772	13239	13293	55	13.017478158133
16	chrI	14284	14328	+	14284	1.559088	0.779544	14284	14328	45	9.61074291857693
17	chrI	16956	17012	+	16988	24.360762	8.574989	16975	17006	32	13.2804388579732
18	chrI	17993	18042	+	18031	7.795444	2.143747	18006	18042	37	15.8865768700397
19	chrI	21237	21248	+	21246	1.948861	1.169317	21240	21246	7	2.2775449223718
20	chrI	22763	22796	+	22769	1.948861	0.974431	22767	22796	30	7.04394041862088
21	chrI	23332	23403	+	23384	5.651696	1.948861	23335	23403	69	17.2395912324049
22	chrI	23765	23780	+	23774	7.0159	3.118178	23771	23780	10	5.79537046817217
23	chrI	24330	24361	+	24348	7.015899	2.143747	24339	24351	13	7.24039606352289
24	chrI	24548	24700	+	24618	14.616454	2.533519	24548	24676	129	24.5227627642116
25	chrI	24777	24930	+	24838	62.948209	16.370433	24834	24909	76	23.8589896691611
26	chrI	24981	25151	+	24994	54.957875	10.328964	24991	25098	108	28.2917620647202
28	chrI	25778	25794	+	25793	2.728405	1.364203	25778	25793	16	8.13976185302594
29	chrI	27557	27573	+	27558	1.169316	0.389772	27557	27573	17	7.84096294022305
30	chrI	28870	28942	+	28923	2.143747	0.974431	28870	28923	54	11.2851246511464
31	chrI	30000	30074	+	30057	5.846582	1.559089	30018	30057	40	13.889406012005
34	chrI	31087	31263	+	31242	117.711208	34.299955	31119	31242	124	20.1278950491151
35	chrI	31307	31373	+	31367	12.472709	2.338633	31307	31367	61	21.2396667039596
36	chrI	31507	31594	+	31521	26.504511	8.964761	31521	31539	19	10.4616930730223
37	chrI	31696	31999	+	31729	44.823797	5.651697	31713	31894	182	34.3261779343223
38	chrI	32090	32150	+	32092	2.728404	0.779544	32092	32150	59	15.0916170329884
39	chrI	32434	32611	+	32465	5.261924	1.169317	32434	32563	130	22.3219174559121
40	chrI	32652	32836	+	32679	13.642026	2.728406	32678	32794	117	23.8564838265471
41	chrI	33171	33185	+	33185	1.169316	0.779544	33171	33185	15	4.88997822325681
42	chrI	33221	33374	+	33359	335.593881	208.91791	33348	33362	15	5.17918540097909
44	chrI	33630	34630	+	34223	265.824633	11.693167	33884	34400	517	58.5173285269503
45	chrI	34785	34860	+	34825	3.507949	1.169317	34785	34854	70	16.3046859740292
46	chrI	34977	35155	+	35107	353.523399	149.672533	35057	35107	51	14.8450176821247
47	chrI	35512	35794	+	35793	300.124602	104.264069	35557	35793	237	32.6513210454491
48	chrI	36460	36570	+	36525	339.491598	157.662863	36513	36567	55	15.324690208089
49	chrI	36626	36780	+	36773	52.424359	12.082939	36644	36774	131	28.7304988751477
50	chrI	36881	36881	+	36881	2.533519	2.533519	36881	36881	1	0
51	chrI	37338	37422	+	37415	114.008371	74.836266	37380	37415	36	8.03162964356703
52	chrI	37643	37741	+	37643	2.143747	0.974431	37643	37727	85	13.850459560839
54	chrI	37823	38030	+	37915	9.35453	3.118178	37847	37992	146	22.6699154203261
55	chrI	38169	38299	+	38169	11.108506	4.092608	38169	38273	105	16.5199392515677
57	chrI	38388	38525	+	38424	6.236354	1.559089	38404	38494	91	19.4685046216579
58	chrI	38563	38625	+	38564	11.49828	7.405672	38563	38578	16	5.77398381405266
59	chrI	39163	39279	+	39205	353.523401	84.970344	39200	39253	54	20.4652674105515
60	chrI	39780	39852	+	39816	2.533519	0.974431	39803	39833	31	11.9099333429778
61	chrI	40010	40060	+	40031	3.118177	1.364203	40011	40037	27	9.81428869588779
62	chrI	40092	40230	+	40147	7.990328	2.338633	40094	40230	137	23.6835262773229
63	chrI	40332	40353	+	40334	9.159647	4.482381	40333	40335	3	1.92265514352405
64	chrI	40623	40725	+	40623	2.533518	0.584658	40623	40709	87	17.3232831201622
65	chrI	40761	40816	+	40816	1.364202	0.389772	40761	40816	56	14.6440621611288
67	chrI	41061	41608	+	41250	42.680046	3.313064	41118	41483	366	46.5084695998704
69	chrI	42104	42234	+	42155	332.865474	60.219808	42154	42203	50	23.0618581083958
70	chrI	42273	42489	+	42305	137.394697	50.865275	42297	42411	115	24.3771603235937
71	chrI	42526	42619	+	42569	4.092608	1.559089	42565	42618	54	11.973044626773
72	chrI	43103	43303	+	43202	5.456809	0.974431	43130	43292	163	26.2332954326219
73	chrI	43367	43635	+	43438	34.884608	5.846583	43438	43574	137	27.9792491894938
74	chrI	43694	43836	+	43782	17.149975	4.677267	43694	43787	94	21.2817645449552
75	chrI	45668	46292	+	45810	2919.588802	554.256098	45749	45901	153	30.7649693774917
79	chrI	46326	47567	+	47089	124.727077	5.846583	46470	47384	915	65.5986456685647
82	chrI	47607	47671	+	47644	52.424362	29.03803	47626	47661	36	9.29847761601071
83	chrI	47709	47961	+	47717	47.747088	15.590889	47717	47892	176	29.2559358714227
84	chrI	47991	48118	+	48056	70.938542	16.955092	48038	48086	49	18.1136682212732
85	chrI	48444	48600	+	48550	134.081636	21.632358	48497	48570	74	23.9157097250263
86	chrI	48639	49142	+	48795	118.685628	18.124408	48653	48977	325	43.6349325360676
87	chrI	49484	49522	+	49502	2.728405	0.974431	49485	49521	37	11.5715057184919
88	chrI	49713	49754	+	49754	1.94886	0.584658	49715	49754	40	11.6931260610459
89	chrI	49976	50006	+	50005	4.872151	1.948861	49977	50005	29	10.7024771912541
91	chrI	50724	50724	+	50724	2.338633	2.338633	50724	50724	1	0
92	chrI	50943	50961	+	50943	1.169317	0.974431	50943	50961	19	2.76124672341393
93	chrI	51106	51150	+	51106	1.169316	0.389772	51106	51150	45	12.365616614705
