cluster	chr	start	end	strand	dominant_tss	tags	tags.dominant_tss	q_0.1	q_0.9	interquantile_width	gene	inCoding
5	chrI	9325	9411	+	9327	4.966464	1.241616	9327	9391	65	YAL066W	NA
6	chrI	9442	9479	+	9442	3.414443	1.862423	9442	9468	27	YAL066W	NA
7	chrI	11253	11343	+	11329	40.662913	17.693022	11275	11329	55	YAL064W-B	NA
33	chrI	31026	31151	+	31108	48.112608	17.072215	31108	31145	38	YAL062W	NA
34	chrI	31187	31263	+	31242	320.026426	122.609541	31212	31242	31	YAL062W	NA
36	chrI	31515	31581	+	31521	36.627663	10.553733	31521	31572	52	YAL062W	NA
41	chrI	33181	33185	+	33181	2.172828	1.241616	33181	33185	5	YAL061W	NA
42	chrI	33270	33365	+	33359	1512.287807	1037.369836	33348	33362	15	YAL061W	NA
46	chrI	34783	35107	+	35107	746.831792	381.17599	35057	35107	51	YAL060W	NA
51	chrI	37283	37422	+	37415	94.983597	51.216644	37378	37419	42	YAL058W	NA
59	chrI	39163	39279	+	39215	379.934379	73.255321	39201	39253	53	YAL056W	NA
69	chrI	42107	42231	+	42155	354.481262	71.703301	42154	42185	32	YAL055W	NA
75	chrI	45654	46305	+	45810	2536.931102	486.713316	45749	45877	129	YAL053W	NA
85	chrI	48444	49116	+	48555	293.331703	40.352507	48511	48795	285	YAL051W	NA
96	chrI	54181	54270	+	54181	5.897676	1.241616	54181	54252	72	YAL047W-A	NA
98	chrI	56531	56574	+	56555	4.65606	1.55202	56531	56574	44	YAL044W-A	NA
99	chrI	56666	56693	+	56688	7.139291	2.793635	56666	56693	28	YAL044W-A	NA
100	chrI	56951	57006	+	57006	5.587271	1.862423	56964	57006	43	YAL044W-A	NA
102	chrI	57425	57532	+	57506	1719.948018	713.618568	57496	57524	29	YAL044W-A	NA
106	chrI	61254	61309	+	61300	1175.189173	466.847467	61274	61300	27	YAL042W	NA
109	chrI	62748	62842	+	62776	267.878569	86.292284	62773	62819	47	YAL041W	NA
129	chrI	71395	71436	+	71404	4.966463	2.172827	71395	71436	42	YAL038W	NA
131	chrI	71612	71759	+	71759	69764.828702	62563.768601	71758	71759	2	YAL038W	NA
136	chrI	73381	73517	+	73486	27.625951	6.208078	73418	73486	69	YAL037W	NA
137	chrI	73662	73688	+	73662	3.414444	1.55202	73662	73688	27	YAL037W	NA
138	chrI	73810	74061	+	73914	120.436722	16.141003	73902	73957	56	YAL037W	NA
142	chrI	76335	76405	+	76401	6758.113729	4159.412269	76392	76405	14	YAL035W	NA
157	chrI	79657	79718	+	79689	81.325823	34.454833	79674	79695	22	YAL034W-A	NA
163	chrI	82185	82304	+	82261	13.347371	4.656059	82212	82282	71	YAL033W	NA
164	chrI	82484	82523	+	82523	1.241616	0.620808	82484	82523	40	YAL033W	NA
165	chrI	82662	82728	+	82701	1064.685382	373.415892	82685	82704	20	YAL033W	NA
167	chrI	83845	83860	+	83845	1.241616	0.310404	83845	83860	16	YAL031W-A	NA
168	chrI	84285	84314	+	84285	1.241616	0.310404	84285	84314	30	YAL031W-A	NA
169	chrI	84382	84438	+	84410	1.55202	0.620808	84382	84438	57	YAL031W-A	NA
171	chrI	87217	87294	+	87264	624.222246	281.225934	87250	87270	21	YAL030W	NA
173	chrI	92377	92451	+	92388	23.280295	6.518482	92388	92424	37	YAL028W	NA
174	chrI	92828	93118	+	92859	224.732434	38.800488	92848	92913	66	YAL028W	NA
178	chrI	94249	94250	+	94250	1.241616	0.931212	94249	94250	2	YAL027W	YAL053W
179	chrI	94555	94680	+	94607	335.236219	91.569151	94595	94646	52	YAL027W	NA
185	chrI	114162	114178	+	114178	1.55202	0.931212	114162	114178	17	YAL019W-A	NA
186	chrI	114786	114862	+	114809	356.964486	167.307702	114806	114828	23	YAL019W	YAL056W
201	chrI	119826	119899	+	119858	289.296437	67.357646	119855	119891	37	YAL017W	NA
225	chrI	124754	124818	+	124782	2769.423606	807.360546	124782	124801	20	YAL016W	NA
239	chrI	129200	129297	+	129244	494.47342	78.842591	129221	129251	31	YAL013W	NA
243	chrI	130678	130758	+	130735	3698.772886	1759.369309	130703	130748	46	YAL012W	NA
246	chrI	131626	131762	+	131717	12.726562	3.724847	131627	131747	121	YAL011W	YAL062W
247	chrI	132154	132301	+	132195	95.604405	24.521908	132185	132220	36	YAL011W	NA
255	chrI	135777	135882	+	135829	216.972336	52.147855	135813	135849	37	YAL009W	NA
259	chrI	136484	136565	+	136559	14.588985	4.656059	136517	136565	49	YAL008W	YAL064W-B
260	chrI	136796	136905	+	136874	1014.089552	299.850168	136860	136882	23	YAL008W	NA
266	chrI	141670	141679	+	141673	3.104039	2.172827	141670	141679	10	YAL003W	NA
267	chrI	141792	141825	+	141813	2.172828	0.931212	141792	141825	34	YAL003W	NA
268	chrI	141941	142167	+	142153	12537.834361	5419.962509	142139	142153	15	YAL003W	NA
273	chrI	143442	143442	+	143442	1.55202	1.55202	143442	143442	1	YAL002W	NA
274	chrI	143539	143682	+	143616	259.497669	54.320683	143572	143630	59	YAL002W	NA
289	chrI	151769	151805	+	151772	5.897676	1.241616	151769	151805	37	YAR002W	NA
290	chrI	152161	152233	+	152215	428.978194	268.18897	152208	152226	19	YAR002W	NA
296	chrI	154876	154988	+	154958	144.648221	40.973315	154920	154964	45	YAR003W	NA
302	chrI	158796	158906	+	158864	201.141731	33.213217	158847	158891	45	YAR008W	NA
307	chrI	169220	169336	+	169325	6763.700998	2376.14186	169282	169330	49	YAR015W	NA
323	chrI	182887	182933	+	182899	4.035252	0.931212	182899	182923	25	YAR027W	NA
325	chrI	183372	183380	+	183380	103.054096	101.502076	183380	183380	1	YAR027W	NA
326	chrI	183588	184146	+	183688	496.956664	71.392897	183682	183929	248	YAR027W	NA
329	chrI	184800	184892	+	184876	564.314297	188.415168	184845	184881	37	YAR028W	NA
333	chrI	185873	185952	+	185918	21.417871	9.312117	185902	185937	36	YAR029W	NA
335	chrI	186107	186109	+	186109	3.414443	2.483231	186107	186109	3	YAR029W	NA
336	chrI	186283	186318	+	186296	3.724848	0.620808	186290	186314	25	YAR029W	NA
337	chrI	186391	186419	+	186418	1.241616	0.620808	186391	186419	29	YAR031W	YAR029W
341	chrI	188006	188091	+	188055	236.83818	54.010279	188045	188065	21	YAR033W	NA
345	chrI	189296	189318	+	189300	11.484945	4.345655	189296	189313	18	YAR035W	NA
346	chrI	189666	189666	+	189666	3.724847	3.724847	189666	189666	1	YAR035W	NA
347	chrI	190149	190213	+	190163	37.869277	19.245042	190163	190195	33	YAR035W	NA
352	chrI	192525	192701	+	192583	162.030849	19.555446	192562	192619	58	YAR042W	NA
377	chrI	207884	207902	+	207887	3.724848	1.55202	207887	207902	16	YAR053W	YAR050W
378	chrI	208166	208224	+	208224	2.483232	0.620808	208166	208224	59	YAR053W	NA
381	chrI	225393	225420	+	225413	5.897675	2.172827	225401	225415	15	YAR071W	NA
384	chrI	227481	227521	+	227521	10.243329	4.345655	227496	227521	26	YAR073W	NA
385	chrII	126	175	+	150	3.414444	1.241616	145	171	27	YBL113W-A	NA
388	chrII	8398	8585	+	8549	22.65949	2.793635	8427	8550	124	YBL107W-A	NA
389	chrII	8762	8802	+	8769	2.483232	0.620808	8762	8802	41	YBL107W-A	NA
399	chrII	23906	24027	+	23980	172.274168	58.045529	23980	24010	31	YBL102W	NA
400	chrII	24081	24285	+	24085	51.527054	17.072215	24085	24250	166	YBL102W	NA
407	chrII	29379	29629	+	29576	56.183112	10.243329	29454	29585	132	YBL100W-A	NA
420	chrII	36650	36766	+	36757	2848.576599	1558.537985	36733	36757	25	YBL099W	NA
427	chrII	39091	39125	+	39115	302.022998	157.685182	39113	39121	9	YBL098W	NA
434	chrII	40724	40828	+	40813	129.43843	48.733412	40768	40813	46	YBL097W	NA
442	chrII	43216	43283	+	43267	138.440143	54.631087	43252	43267	16	YBL095W	NA
446	chrII	45295	45390	+	45305	15.520198	3.104039	45298	45371	74	YBL092W	NA
447	chrII	45462	45634	+	45613	28582.301584	6779.531594	45609	45626	18	YBL092W	NA
456	chrII	48736	48824	+	48794	1470.072879	740.934111	48794	48818	25	YBL090W	NA
457	chrII	49039	49104	+	49082	23.590697	6.208078	49062	49082	21	YBL089W	YBL019W
459	chrII	49491	49594	+	49558	200.831329	64.253607	49535	49576	42	YBL089W	NA
469	chrII	62915	62951	+	62915	1.55202	0.310404	62915	62951	37	YBL085W	NA
470	chrII	63475	63534	+	63485	9.622521	2.483231	63483	63533	51	YBL085W	NA
471	chrII	63607	63763	+	63740	1040.784286	402.283455	63675	63740	66	YBL085W	NA
484	chrII	71531	71595	+	71566	160.789223	42.21493	71549	71570	22	YBL081W	NA
485	chrII	71772	71914	+	71801	11.484947	4.345655	71801	71910	110	YBL081W	NA
489	chrII	74418	74436	+	74418	4.966464	1.55202	74418	74436	19	YBL079W	NA
491	chrII	75129	75229	+	75196	678.232528	149.304276	75178	75210	33	YBL079W	NA
512	chrII	89253	89302	+	89253	1.241616	0.310404	89253	89302	50	YBL071W-A	NA
513	chrII	89890	89980	+	89943	259.808065	134.404889	89935	89943	9	YBL071W-A	NA
515	chrII	90615	90722	+	90685	464.364243	169.48053	90665	90709	45	YBL069W	NA
518	chrII	91342	91379	+	91377	3.10404	0.931212	91357	91377	21	YBL068W-A	YBL032W
519	chrII	91523	91525	+	91523	2.793636	0.931212	91523	91525	3	YBL068W-A	YBL032W
521	chrII	92296	92505	+	92345	679.784548	122.299137	92345	92396	52	YBL068W	NA
529	chrII	101487	101516	+	101516	5.897675	1.862423	101487	101516	30	YBL063W	NA
530	chrII	101831	101886	+	101869	270.051396	151.477104	101864	101882	19	YBL063W	NA
541	chrII	104841	104856	+	104856	2.483232	1.55202	104841	104856	16	YBL062W	YBL041W
542	chrII	107626	107749	+	107712	18.00343	3.104039	107647	107712	66	YBL060W	NA
543	chrII	107870	108022	+	107914	49.043819	9.312117	107876	107932	57	YBL060W	NA
552	chrII	111367	111465	+	111409	1476.591358	552.829347	111403	111421	19	YBL058W	NA
557	chrII	113356	113369	+	113369	2.483231	1.862423	113356	113369	14	YBL056W	NA
558	chrII	113607	113762	+	113720	1686.424401	392.971338	113641	113730	90	YBL056W	NA
565	chrII	117062	117269	+	117099	44.077359	11.484944	117099	117251	153	YBL054W	NA
566	chrII	117349	117378	+	117378	8.380906	5.58727	117352	117378	27	YBL054W	NA
