chr	pos	strand	SL01	SL02	SL03	SL04
chrI	6530	+	2	1	1	0
chrI	9277	+	0	0	0	2
chrI	9325	+	0	1	0	0
chrI	9327	+	3	1	1	7
chrI	9338	+	2	0	4	1
chrI	9340	+	0	1	0	1
chrI	9343	+	0	0	0	2
chrI	9359	+	1	0	3	6
chrI	9361	+	1	0	1	1
chrI	9364	+	0	1	0	2
chrI	9366	+	0	1	0	0
chrI	9368	+	0	0	0	2
chrI	9373	+	1	1	0	2
chrI	9377	+	0	0	1	0
chrI	9391	+	0	1	1	3
chrI	9395	+	0	0	1	0
chrI	9402	+	0	0	0	1
chrI	9411	+	0	1	3	5
chrI	9416	+	0	0	2	0
chrI	9442	+	3	3	0	0
chrI	9444	+	0	2	0	2
chrI	9452	+	0	0	1	1
chrI	9463	+	0	1	0	0
chrI	9464	+	0	0	1	0
chrI	9465	+	0	0	0	1
chrI	9468	+	1	0	1	1
chrI	9476	+	0	0	1	0
chrI	9479	+	1	0	0	0
chrI	9506	+	0	0	0	1
chrI	9573	+	0	0	0	1
chrI	9860	+	0	1	0	0
chrI	11059	+	0	0	0	2
chrI	11061	+	0	1	1	0
chrI	11091	+	0	0	1	0
chrI	11223	+	0	0	0	2
chrI	11253	+	1	0	0	0
chrI	11259	+	2	0	2	2
chrI	11267	+	0	0	0	1
chrI	11269	+	0	0	0	1
chrI	11273	+	0	1	2	0
chrI	11275	+	5	5	3	3
chrI	11277	+	1	0	3	4
chrI	11281	+	0	1	0	3
chrI	11285	+	1	0	1	0
chrI	11286	+	0	0	0	1
chrI	11287	+	0	0	1	0
chrI	11288	+	0	1	1	3
chrI	11292	+	2	1	4	4
chrI	11294	+	1	0	0	0
chrI	11295	+	3	0	2	1
chrI	11297	+	0	0	0	1
chrI	11303	+	1	1	0	0
chrI	11304	+	6	3	10	20
chrI	11307	+	0	2	2	3
chrI	11311	+	0	0	0	1
chrI	11312	+	0	1	2	6
chrI	11313	+	0	0	4	2
chrI	11314	+	0	0	2	2
chrI	11315	+	0	0	1	0
chrI	11316	+	0	0	0	1
chrI	11317	+	0	1	1	1
chrI	11318	+	9	8	22	30
chrI	11320	+	0	0	4	2
chrI	11321	+	2	0	1	4
chrI	11324	+	7	2	6	10
chrI	11329	+	20	37	54	58
chrI	11334	+	1	0	2	0
chrI	11340	+	0	0	0	1
chrI	11343	+	1	4	3	6
chrI	11345	+	0	0	0	2
chrI	11349	+	0	0	0	1
chrI	11361	+	0	0	1	0
chrI	11376	+	1	0	2	0
chrI	11387	+	0	0	1	0
chrI	11391	+	3	2	1	0
chrI	11413	+	0	0	0	1
chrI	11420	+	0	1	0	0
chrI	11422	+	1	0	2	0
chrI	11426	+	0	0	0	1
chrI	11453	+	0	0	0	1
chrI	11459	+	0	1	0	0
chrI	11466	+	0	0	1	1
chrI	11468	+	1	0	0	0
chrI	11483	+	1	0	0	0
chrI	11488	+	0	0	0	1
chrI	11499	+	1	0	0	1
chrI	11500	+	0	0	1	0
chrI	11503	+	0	0	1	0
