cluster	chr	start	end	strand	dominant_tss	tags	tags.dominant_tss	q_0.1	q_0.9	interquantile_width
1	chrI	6530	6564	+	6548	9.312118	3.724847	6530	6562	33
3	chrI	7166	7189	+	7169	1.241616	0.620808	7166	7189	24
4	chrI	8084	8087	+	8084	1.241616	0.620808	8084	8087	4
5	chrI	9325	9411	+	9327	4.966464	1.241616	9327	9391	65
6	chrI	9442	9479	+	9442	3.414443	1.862423	9442	9468	27
7	chrI	11253	11343	+	11329	40.662913	17.693022	11275	11329	55
9	chrI	12335	12345	+	12345	1.241616	0.931212	12335	12345	11
10	chrI	12456	12466	+	12456	1.55202	1.241616	12456	12466	11
12	chrI	12673	12847	+	12778	57.114326	7.449694	12682	12778	97
13	chrI	12929	12958	+	12933	7.760099	2.172827	12931	12954	24
17	chrI	16935	17006	+	16975	16.761812	4.966462	16961	17006	46
18	chrI	18001	18042	+	18031	7.139292	1.241616	18006	18038	33
21	chrI	23335	23403	+	23384	6.828887	2.483231	23335	23403	69
22	chrI	23765	23780	+	23780	5.276867	2.172827	23771	23780	10
23	chrI	24330	24375	+	24348	2.793636	0.931212	24330	24375	46
24	chrI	24618	24693	+	24637	9.001715	4.035251	24618	24691	74
25	chrI	24794	24856	+	24838	35.696451	17.693022	24828	24850	23
26	chrI	24982	25142	+	25000	39.4213	8.070501	24991	25098	108
27	chrI	25337	25355	+	25337	1.55202	1.241616	25337	25355	19
28	chrI	25781	25793	+	25781	1.862424	0.931212	25781	25793	13
32	chrI	30113	30164	+	30118	14.588985	7.449694	30118	30136	19
33	chrI	31026	31151	+	31108	48.112608	17.072215	31108	31145	38
34	chrI	31187	31263	+	31242	320.026426	122.609541	31212	31242	31
36	chrI	31515	31581	+	31521	36.627663	10.553733	31521	31572	52
37	chrI	31711	31950	+	31726	59.907958	7.13929	31713	31891	179
38	chrI	32084	32203	+	32097	5.897676	0.931212	32086	32174	89
39	chrI	32445	32481	+	32455	2.793636	1.241616	32445	32481	37
40	chrI	32671	32839	+	32679	13.036966	2.172827	32679	32816	138
41	chrI	33181	33185	+	33181	2.172828	1.241616	33181	33185	5
42	chrI	33270	33365	+	33359	1512.287807	1037.369836	33348	33362	15
43	chrI	33469	33557	+	33533	5.276868	0.931212	33470	33556	87
44	chrI	33630	34720	+	34258	491.679818	26.694735	33893	34394	502
46	chrI	34783	35107	+	35107	746.831792	381.17599	35057	35107	51
47	chrI	35511	35796	+	35793	285.571603	108.951769	35557	35793	237
48	chrI	36460	36587	+	36525	715.791397	266.636951	36519	36567	49
49	chrI	36626	36800	+	36773	36.938068	14.278579	36643	36776	134
50	chrI	36837	36881	+	36881	2.172828	1.55202	36837	36881	45
51	chrI	37283	37422	+	37415	94.983597	51.216644	37378	37419	42
53	chrI	37728	37776	+	37748	1.241616	0.620808	37728	37776	49
56	chrI	38214	38294	+	38273	2.793636	0.620808	38214	38294	81
57	chrI	38404	38435	+	38420	1.55202	0.620808	38404	38435	32
58	chrI	38563	38594	+	38564	5.58727	3.104039	38563	38565	3
59	chrI	39163	39279	+	39215	379.934379	73.255321	39201	39253	53
60	chrI	39797	39816	+	39816	1.241616	0.931212	39797	39816	20
61	chrI	40015	40031	+	40031	1.241616	0.931212	40015	40031	17
63	chrI	40333	40385	+	40334	4.65606	1.55202	40333	40364	32
66	chrI	40921	41216	+	40974	14.278584	1.241616	40949	41198	250
68	chrI	41250	41404	+	41347	21.417873	4.345655	41250	41375	126
69	chrI	42107	42231	+	42155	354.481262	71.703301	42154	42185	32
70	chrI	42279	42486	+	42305	53.699882	13.036964	42305	42423	119
72	chrI	43125	43211	+	43205	5.897675	1.862423	43125	43211	87
73	chrI	43434	43539	+	43469	48.423012	13.036964	43438	43499	62
74	chrI	43751	43798	+	43782	4.966463	2.172827	43754	43787	34
75	chrI	45654	46305	+	45810	2536.931102	486.713316	45749	45877	129
76	chrI	46469	46537	+	46470	4.035252	0.620808	46470	46537	68
77	chrI	46606	46678	+	46606	5.897676	1.241616	46606	46656	51
78	chrI	46738	46922	+	46748	11.484946	1.862423	46748	46914	167
79	chrI	47087	47089	+	47089	5.276867	3.414443	47087	47089	3
80	chrI	47186	47318	+	47205	4.65606	0.931212	47205	47315	111
81	chrI	47372	47508	+	47382	7.139292	0.620808	47382	47464	83
82	chrI	47540	47671	+	47644	31.350797	15.830599	47601	47645	45
83	chrI	47716	47897	+	47717	25.14272	9.622521	47717	47858	142
84	chrI	48005	48172	+	48056	42.214936	7.449694	48016	48095	80
85	chrI	48444	49116	+	48555	293.331703	40.352507	48511	48795	285
87	chrI	49502	49533	+	49533	2.483232	0.931212	49502	49533	32
89	chrI	49975	50008	+	50005	3.10404	0.620808	49976	50007	32
90	chrI	50474	50480	+	50475	1.241616	0.620808	50474	50480	7
91	chrI	50724	50724	+	50724	1.862423	1.862423	50724	50724	1
