cluster	chr	start	end	strand	dominant_tss	tags	tags.dominant_tss	q_0.1	q_0.9	interquantile_width
1	chrI	6521	6564	+	6559	5.067037	1.753975	6530	6559	30
2	chrI	7096	7118	+	7100	1.94886	0.584658	7096	7114	19
4	chrI	8061	8087	+	8061	1.94886	0.584658	8061	8087	27
5	chrI	9327	9476	+	9359	11.498278	1.753975	9327	9452	126
7	chrI	11259	11343	+	11329	59.245376	21.827244	11288	11329	42
8	chrI	11907	11934	+	11919	2.338633	0.974431	11916	11922	7
11	chrI	12486	12879	+	12682	98.612361	10.134078	12586	12779	194
13	chrI	12929	12986	+	12933	6.041468	2.728406	12931	12949	19
14	chrI	13102	13172	+	13102	1.169316	0.389772	13102	13172	71
15	chrI	13239	13293	+	13239	1.169316	0.389772	13239	13293	55
16	chrI	14284	14328	+	14284	1.559088	0.779544	14284	14328	45
17	chrI	16956	17012	+	16988	24.360762	8.574989	16975	17006	32
18	chrI	17993	18042	+	18031	7.795444	2.143747	18006	18042	37
19	chrI	21237	21248	+	21246	1.948861	1.169317	21240	21246	7
20	chrI	22763	22796	+	22769	1.948861	0.974431	22767	22796	30
21	chrI	23332	23403	+	23384	5.651696	1.948861	23335	23403	69
22	chrI	23765	23780	+	23774	7.0159	3.118178	23771	23780	10
23	chrI	24330	24361	+	24348	7.015899	2.143747	24339	24351	13
24	chrI	24548	24700	+	24618	14.616454	2.533519	24548	24676	129
25	chrI	24777	24930	+	24838	62.948209	16.370433	24834	24909	76
26	chrI	24981	25151	+	24994	54.957875	10.328964	24991	25098	108
28	chrI	25778	25794	+	25793	2.728405	1.364203	25778	25793	16
29	chrI	27557	27573	+	27558	1.169316	0.389772	27557	27573	17
30	chrI	28870	28942	+	28923	2.143747	0.974431	28870	28923	54
31	chrI	30000	30074	+	30057	5.846582	1.559089	30018	30057	40
34	chrI	31087	31263	+	31242	117.711208	34.299955	31119	31242	124
35	chrI	31307	31373	+	31367	12.472709	2.338633	31307	31367	61
36	chrI	31507	31594	+	31521	26.504511	8.964761	31521	31539	19
37	chrI	31696	31999	+	31729	44.823797	5.651697	31713	31894	182
38	chrI	32090	32150	+	32092	2.728404	0.779544	32092	32150	59
39	chrI	32434	32611	+	32465	5.261924	1.169317	32434	32563	130
40	chrI	32652	32836	+	32679	13.642026	2.728406	32678	32794	117
41	chrI	33171	33185	+	33185	1.169316	0.779544	33171	33185	15
42	chrI	33221	33374	+	33359	335.593881	208.91791	33348	33362	15
44	chrI	33630	34630	+	34223	265.824633	11.693167	33884	34400	517
45	chrI	34785	34860	+	34825	3.507949	1.169317	34785	34854	70
46	chrI	34977	35155	+	35107	353.523399	149.672533	35057	35107	51
47	chrI	35512	35794	+	35793	300.124602	104.264069	35557	35793	237
48	chrI	36460	36570	+	36525	339.491598	157.662863	36513	36567	55
49	chrI	36626	36780	+	36773	52.424359	12.082939	36644	36774	131
50	chrI	36881	36881	+	36881	2.533519	2.533519	36881	36881	1
51	chrI	37338	37422	+	37415	114.008371	74.836266	37380	37415	36
52	chrI	37643	37741	+	37643	2.143747	0.974431	37643	37727	85
54	chrI	37823	38030	+	37915	9.35453	3.118178	37847	37992	146
55	chrI	38169	38299	+	38169	11.108506	4.092608	38169	38273	105
57	chrI	38388	38525	+	38424	6.236354	1.559089	38404	38494	91
58	chrI	38563	38625	+	38564	11.49828	7.405672	38563	38578	16
59	chrI	39163	39279	+	39205	353.523401	84.970344	39200	39253	54
60	chrI	39780	39852	+	39816	2.533519	0.974431	39803	39833	31
61	chrI	40010	40060	+	40031	3.118177	1.364203	40011	40037	27
62	chrI	40092	40230	+	40147	7.990328	2.338633	40094	40230	137
63	chrI	40332	40353	+	40334	9.159647	4.482381	40333	40335	3
64	chrI	40623	40725	+	40623	2.533518	0.584658	40623	40709	87
65	chrI	40761	40816	+	40816	1.364202	0.389772	40761	40816	56
67	chrI	41061	41608	+	41250	42.680046	3.313064	41118	41483	366
69	chrI	42104	42234	+	42155	332.865474	60.219808	42154	42203	50
70	chrI	42273	42489	+	42305	137.394697	50.865275	42297	42411	115
71	chrI	42526	42619	+	42569	4.092608	1.559089	42565	42618	54
72	chrI	43103	43303	+	43202	5.456809	0.974431	43130	43292	163
73	chrI	43367	43635	+	43438	34.884608	5.846583	43438	43574	137
74	chrI	43694	43836	+	43782	17.149975	4.677267	43694	43787	94
75	chrI	45668	46292	+	45810	2919.588802	554.256098	45749	45901	153
79	chrI	46326	47567	+	47089	124.727077	5.846583	46470	47384	915
82	chrI	47607	47671	+	47644	52.424362	29.03803	47626	47661	36
83	chrI	47709	47961	+	47717	47.747088	15.590889	47717	47892	176
84	chrI	47991	48118	+	48056	70.938542	16.955092	48038	48086	49
85	chrI	48444	48600	+	48550	134.081636	21.632358	48497	48570	74
86	chrI	48639	49142	+	48795	118.685628	18.124408	48653	48977	325
87	chrI	49484	49522	+	49502	2.728405	0.974431	49485	49521	37
88	chrI	49713	49754	+	49754	1.94886	0.584658	49715	49754	40
89	chrI	49976	50006	+	50005	4.872151	1.948861	49977	50005	29
91	chrI	50724	50724	+	50724	2.338633	2.338633	50724	50724	1
92	chrI	50943	50961	+	50943	1.169317	0.974431	50943	50961	19
93	chrI	51106	51150	+	51106	1.169316	0.389772	51106	51150	45
95	chrI	52771	52853	+	52851	3.897721	1.559089	52808	52851	44
96	chrI	54188	54230	+	54188	1.753974	0.389772	54188	54230	43
97	chrI	54892	54944	+	54892	1.364202	0.194886	54892	54944	53
98	chrI	56531	56566	+	56558	1.364202	0.584658	56531	56566	36
99	chrI	56612	56693	+	56666	3.313063	0.974431	56630	56693	64
100	chrI	56943	57006	+	56968	6.626126	2.143747	56966	57006	41
101	chrI	57312	57381	+	57312	2.338633	0.974431	57312	57366	55
102	chrI	57424	57532	+	57506	3359.056997	1460.281626	57496	57517	22
104	chrI	57704	57724	+	57724	4.092607	1.948861	57716	57724	9
105	chrI	58555	58607	+	58598	2.143747	0.974431	58579	58598	20
106	chrI	61258	61309	+	61300	1142.227489	390.551765	61274	61300	27
