cluster	chr	start	end	strand	dominant_tss	tags	tags.dominant_tss	q_0.1	q_0.9	interquantile_width
1	chrI	6530	6564	+	6548	9.312118	3.724847	6530	6562	33
2	chrI	7166	7189	+	7169	1.241616	0.620808	7166	7189	24
3	chrI	8084	8087	+	8084	1.241616	0.620808	8084	8087	4
4	chrI	9325	9411	+	9327	4.966464	1.241616	9327	9391	65
5	chrI	9442	9479	+	9442	3.414443	1.862423	9442	9468	27
6	chrI	11253	11343	+	11329	40.662913	17.693022	11275	11329	55
7	chrI	12335	12345	+	12345	1.241616	0.931212	12335	12345	11
8	chrI	12456	12466	+	12456	1.55202	1.241616	12456	12466	11
9	chrI	12673	12847	+	12778	57.114326	7.449694	12682	12778	97
10	chrI	12929	12958	+	12933	7.760099	2.172827	12931	12954	24
11	chrI	16935	17006	+	16975	16.761812	4.966462	16961	17006	46
12	chrI	18001	18042	+	18031	7.139292	1.241616	18006	18038	33
13	chrI	23335	23403	+	23384	6.828887	2.483231	23335	23403	69
14	chrI	23765	23780	+	23780	5.276867	2.172827	23771	23780	10
15	chrI	24330	24375	+	24348	2.793636	0.931212	24330	24375	46
16	chrI	24618	24693	+	24637	9.001715	4.035251	24618	24691	74
17	chrI	24794	24856	+	24838	35.696451	17.693022	24828	24850	23
18	chrI	24982	25142	+	25000	39.4213	8.070501	24991	25098	108
19	chrI	25337	25355	+	25337	1.55202	1.241616	25337	25355	19
20	chrI	25781	25793	+	25781	1.862424	0.931212	25781	25793	13
21	chrI	30113	30164	+	30118	14.588985	7.449694	30118	30136	19
22	chrI	31026	31151	+	31108	48.112608	17.072215	31108	31145	38
23	chrI	31187	31263	+	31242	320.026426	122.609541	31212	31242	31
24	chrI	31515	31581	+	31521	36.627663	10.553733	31521	31572	52
25	chrI	31711	31950	+	31726	59.907958	7.13929	31713	31891	179
26	chrI	32084	32203	+	32097	5.897676	0.931212	32086	32174	89
27	chrI	32445	32481	+	32455	2.793636	1.241616	32445	32481	37
28	chrI	32671	32839	+	32679	13.036966	2.172827	32679	32816	138
29	chrI	33181	33185	+	33181	2.172828	1.241616	33181	33185	5
30	chrI	33270	33365	+	33359	1512.287807	1037.369836	33348	33362	15
31	chrI	33469	33557	+	33533	5.276868	0.931212	33470	33556	87
32	chrI	33630	34720	+	34258	491.679818	26.694735	33893	34394	502
33	chrI	34783	35107	+	35107	746.831792	381.17599	35057	35107	51
34	chrI	35511	35796	+	35793	285.571603	108.951769	35557	35793	237
35	chrI	36460	36587	+	36525	715.791397	266.636951	36519	36567	49
36	chrI	36626	36800	+	36773	36.938068	14.278579	36643	36776	134
37	chrI	36837	36881	+	36881	2.172828	1.55202	36837	36881	45
38	chrI	37283	37422	+	37415	94.983597	51.216644	37378	37419	42
39	chrI	37728	37776	+	37748	1.241616	0.620808	37728	37776	49
40	chrI	38214	38294	+	38273	2.793636	0.620808	38214	38294	81
