cluster	chr	start	end	strand	dominant_tss	tags	tags.dominant_tss	q_0.1	q_0.9	interquantile_width	gene	inCoding
1	chrI	6521	6564	+	6559	5.067037	1.753975	6530	6559	30	NA	NA
2	chrI	7096	7118	+	7100	1.94886	0.584658	7096	7114	19	NA	NA
4	chrI	8061	8087	+	8061	1.94886	0.584658	8061	8087	27	NA	NA
11	chrI	12486	12879	+	12682	98.612361	10.134078	12586	12779	194	NA	NA
13	chrI	12929	12986	+	12933	6.041468	2.728406	12931	12949	19	NA	NA
14	chrI	13102	13172	+	13102	1.169316	0.389772	13102	13172	71	NA	NA
15	chrI	13239	13293	+	13239	1.169316	0.389772	13239	13293	55	NA	NA
16	chrI	14284	14328	+	14284	1.559088	0.779544	14284	14328	45	NA	NA
17	chrI	16956	17012	+	16988	24.360762	8.574989	16975	17006	32	NA	NA
18	chrI	17993	18042	+	18031	7.795444	2.143747	18006	18042	37	NA	NA
20	chrI	22763	22796	+	22769	1.948861	0.974431	22767	22796	30	NA	NA
21	chrI	23332	23403	+	23384	5.651696	1.948861	23335	23403	69	NA	NA
22	chrI	23765	23780	+	23774	7.0159	3.118178	23771	23780	10	NA	NA
23	chrI	24330	24361	+	24348	7.015899	2.143747	24339	24351	13	NA	NA
24	chrI	24548	24700	+	24618	14.616454	2.533519	24548	24676	129	NA	NA
25	chrI	24777	24930	+	24838	62.948209	16.370433	24834	24909	76	NA	NA
26	chrI	24981	25151	+	24994	54.957875	10.328964	24991	25098	108	NA	NA
28	chrI	25778	25794	+	25793	2.728405	1.364203	25778	25793	16	NA	NA
29	chrI	27557	27573	+	27558	1.169316	0.389772	27557	27573	17	NA	NA
30	chrI	28870	28942	+	28923	2.143747	0.974431	28870	28923	54	NA	NA
31	chrI	30000	30074	+	30057	5.846582	1.559089	30018	30057	40	NA	NA
37	chrI	31696	31999	+	31729	44.823797	5.651697	31713	31894	182	NA	YAL012W
38	chrI	32090	32150	+	32092	2.728404	0.779544	32092	32150	59	NA	YAL012W
39	chrI	32434	32611	+	32465	5.261924	1.169317	32434	32563	130	NA	YAL012W
40	chrI	32652	32836	+	32679	13.642026	2.728406	32678	32794	117	NA	YAL012W
44	chrI	33630	34630	+	34223	265.824633	11.693167	33884	34400	517	NA	YAL013W
47	chrI	35512	35794	+	35793	300.124602	104.264069	35557	35793	237	NA	YAL016W
48	chrI	36460	36570	+	36525	339.491598	157.662863	36513	36567	55	NA	YAL017W
49	chrI	36626	36780	+	36773	52.424359	12.082939	36644	36774	131	NA	YAL017W
50	chrI	36881	36881	+	36881	2.533519	2.533519	36881	36881	1	NA	YAL017W
52	chrI	37643	37741	+	37643	2.143747	0.974431	37643	37727	85	NA	YAL019W
54	chrI	37823	38030	+	37915	9.35453	3.118178	37847	37992	146	NA	YAL019W
55	chrI	38169	38299	+	38169	11.108506	4.092608	38169	38273	105	NA	YAL019W
57	chrI	38388	38525	+	38424	6.236354	1.559089	38404	38494	91	NA	YAL019W
58	chrI	38563	38625	+	38564	11.49828	7.405672	38563	38578	16	NA	YAL019W
60	chrI	39780	39852	+	39816	2.533519	0.974431	39803	39833	31	NA	YAL019W-A
61	chrI	40010	40060	+	40031	3.118177	1.364203	40011	40037	27	NA	YAL019W-A
62	chrI	40092	40230	+	40147	7.990328	2.338633	40094	40230	137	NA	YAL019W-A
63	chrI	40332	40353	+	40334	9.159647	4.482381	40333	40335	3	NA	YAL019W-A
64	chrI	40623	40725	+	40623	2.533518	0.584658	40623	40709	87	NA	YAL019W-A
