cluster	chr	start	end	strand	dominant_tss	tags	tags.dominant_tss	q_0.1	q_0.9	interquantile_width	gene	inCoding
5	chrI	9327	9476	+	9359	11.498278	1.753975	9327	9452	126	YAL066W	NA
7	chrI	11259	11343	+	11329	59.245376	21.827244	11288	11329	42	YAL064W-B	NA
8	chrI	11907	11934	+	11919	2.338633	0.974431	11916	11922	7	YAL064W-B	NA
19	chrI	21237	21248	+	21246	1.948861	1.169317	21240	21246	7	YAL064W	NA
34	chrI	31087	31263	+	31242	117.711208	34.299955	31119	31242	124	YAL062W	NA
35	chrI	31307	31373	+	31367	12.472709	2.338633	31307	31367	61	YAL062W	NA
36	chrI	31507	31594	+	31521	26.504511	8.964761	31521	31539	19	YAL062W	NA
41	chrI	33171	33185	+	33185	1.169316	0.779544	33171	33185	15	YAL061W	NA
42	chrI	33221	33374	+	33359	335.593881	208.91791	33348	33362	15	YAL061W	NA
45	chrI	34785	34860	+	34825	3.507949	1.169317	34785	34854	70	YAL060W	NA
46	chrI	34977	35155	+	35107	353.523399	149.672533	35057	35107	51	YAL060W	NA
51	chrI	37338	37422	+	37415	114.008371	74.836266	37380	37415	36	YAL058W	NA
59	chrI	39163	39279	+	39205	353.523401	84.970344	39200	39253	54	YAL056W	NA
69	chrI	42104	42234	+	42155	332.865474	60.219808	42154	42203	50	YAL055W	NA
75	chrI	45668	46292	+	45810	2919.588802	554.256098	45749	45901	153	YAL053W	NA
85	chrI	48444	48600	+	48550	134.081636	21.632358	48497	48570	74	YAL051W	NA
96	chrI	54188	54230	+	54188	1.753974	0.389772	54188	54230	43	YAL047W-A	NA
98	chrI	56531	56566	+	56558	1.364202	0.584658	56531	56566	36	YAL044W-A	NA
99	chrI	56612	56693	+	56666	3.313063	0.974431	56630	56693	64	YAL044W-A	NA
100	chrI	56943	57006	+	56968	6.626126	2.143747	56966	57006	41	YAL044W-A	NA
101	chrI	57312	57381	+	57312	2.338633	0.974431	57312	57366	55	YAL044W-A	NA
102	chrI	57424	57532	+	57506	3359.056997	1460.281626	57496	57517	22	YAL044W-A	NA
106	chrI	61258	61309	+	61300	1142.227489	390.551765	61274	61300	27	YAL042W	NA
109	chrI	62741	62840	+	62776	341.440464	101.145891	62773	62815	43	YAL041W	NA
129	chrI	71395	71404	+	71404	1.559089	0.974431	71395	71404	10	YAL038W	NA
130	chrI	71438	71510	+	71510	3.313063	1.169317	71438	71510	73	YAL038W	NA
131	chrI	71604	71759	+	71759	47829.923666	40854.170231	71756	71759	4	YAL038W	NA
136	chrI	73407	73517	+	73486	28.063597	5.067039	73418	73486	69	YAL037W	NA
137	chrI	73556	73702	+	73662	14.42157	3.50795	73581	73682	102	YAL037W	NA
138	chrI	73809	74187	+	73921	220.611067	32.351094	73851	73995	145	YAL037W	NA
142	chrI	76335	76405	+	76401	5147.526835	3031.063677	76392	76405	14	YAL035W	NA
157	chrI	79673	79714	+	79689	84.775455	31.766436	79674	79695	22	YAL034W-A	NA
163	chrI	82185	82287	+	82261	10.718734	3.118178	82212	82281	70	YAL033W	NA
165	chrI	82658	82728	+	82701	582.709468	175.787272	82685	82704	20	YAL033W	NA
167	chrI	83818	83899	+	83860	2.338633	1.364203	83845	83884	40	YAL031W-A	NA
171	chrI	87205	87273	+	87264	849.313668	433.621596	87253	87264	12	YAL030W	NA
173	chrI	92377	92457	+	92412	16.370431	4.872153	92388	92424	37	YAL028W	NA
174	chrI	92828	93101	+	92859	166.432729	23.191447	92849	92948	100	YAL028W	NA
179	chrI	94582	94724	+	94607	283.169516	71.523203	94595	94655	61	YAL027W	NA
186	chrI	114765	114858	+	114809	220.221306	91.986244	114806	114832	27	YAL019W	YAL056W
201	chrI	119840	119891	+	119858	154.154911	49.1113	119850	119890	41	YAL017W	NA
225	chrI	124746	124818	+	124782	2658.441435	1099.547435	124782	124801	20	YAL016W	NA
226	chrI	124872	125205	+	124872	177.931009	35.469272	124872	125152	281	YAL016W	NA
239	chrI	129194	129724	+	129238	668.654222	67.820366	129223	129525	303	YAL013W	NA
243	chrI	130678	130750	+	130735	3165.340206	1682.841564	130716	130744	29	YAL012W	NA
247	chrI	132160	132238	+	132195	81.267509	20.657928	132185	132220	36	YAL011W	NA
255	chrI	135776	136066	+	135829	233.473553	34.689728	135812	135869	58	YAL009W	NA
259	chrI	136481	136565	+	136565	7.600558	2.338633	136517	136565	49	YAL008W	YAL064W-B
260	chrI	136796	136905	+	136874	1522.060521	354.497835	136852	136882	31	YAL008W	NA
266	chrI	141673	141731	+	141673	2.923291	0.974431	141673	141721	49	YAL003W	NA
268	chrI	141933	142167	+	142153	13878.42458	5247.503411	142138	142153	16	YAL003W	NA
274	chrI	143530	143754	+	143616	206.969042	39.56188	143572	143679	108	YAL002W	NA
290	chrI	152161	152233	+	152215	399.516523	237.371283	152204	152224	21	YAR002W	NA
296	chrI	154896	154992	+	154958	127.06574	36.05393	154920	154964	45	YAR003W	NA
