cluster	chr	start	end	strand	dominant_tss	tags	tags.dominant_tss	q_0.1	q_0.9	interquantile_width	gene
1	chrI	6530	6564	+	6548	9.312118	3.724847	6530	6562	33	NA
3	chrI	7166	7189	+	7169	1.241616	0.620808	7166	7189	24	NA
4	chrI	8084	8087	+	8084	1.241616	0.620808	8084	8087	4	NA
10	chrI	12456	12466	+	12456	1.55202	1.241616	12456	12466	11	NA
12	chrI	12673	12847	+	12778	57.114326	7.449694	12682	12778	97	NA
13	chrI	12929	12958	+	12933	7.760099	2.172827	12931	12954	24	NA
17	chrI	16935	17006	+	16975	16.761812	4.966462	16961	17006	46	NA
18	chrI	18001	18042	+	18031	7.139292	1.241616	18006	18038	33	NA
21	chrI	23335	23403	+	23384	6.828887	2.483231	23335	23403	69	NA
22	chrI	23765	23780	+	23780	5.276867	2.172827	23771	23780	10	NA
23	chrI	24330	24375	+	24348	2.793636	0.931212	24330	24375	46	NA
24	chrI	24618	24693	+	24637	9.001715	4.035251	24618	24691	74	NA
25	chrI	24794	24856	+	24838	35.696451	17.693022	24828	24850	23	NA
26	chrI	24982	25142	+	25000	39.4213	8.070501	24991	25098	108	NA
27	chrI	25337	25355	+	25337	1.55202	1.241616	25337	25355	19	NA
28	chrI	25781	25793	+	25781	1.862424	0.931212	25781	25793	13	NA
32	chrI	30113	30164	+	30118	14.588985	7.449694	30118	30136	19	NA
72	chrI	43125	43211	+	43205	5.897675	1.862423	43125	43211	87	NA
73	chrI	43434	43539	+	43469	48.423012	13.036964	43438	43499	62	NA
74	chrI	43751	43798	+	43782	4.966463	2.172827	43754	43787	34	NA
120	chrI	68153	68207	+	68195	4.345656	1.241616	68169	68195	27	NA
121	chrI	68684	68809	+	68703	35.075643	7.449694	68692	68732	41	NA
122	chrI	68901	68947	+	68947	4.65606	1.55202	68910	68947	38	NA
125	chrI	69938	70139	+	70094	34.454839	3.724847	69947	70119	173	NA
126	chrI	70309	70360	+	70326	7.449694	2.793635	70320	70350	31	NA
127	chrI	70496	70522	+	70507	5.587271	3.104039	70502	70517	16	NA
128	chrI	70603	70688	+	70688	26.073928	24.521908	70688	70688	1	NA
183	chrI	99371	99414	+	99414	3.414443	2.483231	99397	99414	18	NA
237	chrI	127837	127851	+	127837	1.862424	1.241616	127837	127851	15	NA
238	chrI	128150	128153	+	128150	1.241616	0.620808	128150	128153	4	NA
262	chrI	137700	137827	+	137725	8.691311	2.172827	137718	137795	78	NA
263	chrI	138548	138600	+	138600	5.276867	2.793635	138554	138600	47	NA
264	chrI	138781	138820	+	138781	1.55202	0.931212	138781	138820	40	NA
265	chrI	139189	139220	+	139210	1.55202	0.620808	139189	139220	32	NA
287	chrI	150822	150858	+	150822	1.55202	0.620808	150822	150858	37	NA
288	chrI	150903	150933	+	150931	1.862424	1.241616	150903	150933	31	NA
305	chrI	166191	166224	+	166191	1.241616	0.620808	166191	166224	34	NA
311	chrI	170856	170933	+	170933	4.656059	1.862423	170878	170933	56	NA
312	chrI	171904	172046	+	171921	10.243332	1.241616	171921	172042	122	NA
313	chrI	172145	172160	+	172152	1.241616	0.620808	172145	172160	16	NA
317	chrI	176650	176707	+	176697	3.414444	0.931212	176664	176697	34	NA
319	chrI	179517	179560	+	179535	1.55202	0.620808	179517	179560	44	NA
320	chrI	179862	179899	+	179896	8.691311	3.104039	179865	179899	35	NA
321	chrI	180195	180328	+	180328	18.003429	4.035251	180225	180328	104	NA
322	chrI	181420	181464	+	181427	3.10404	0.931212	181427	181446	20	NA
344	chrI	188838	188944	+	188854	52.768668	18.624234	188849	188932	84	NA
368	chrI	198472	198553	+	198530	63.322398	24.211504	198472	198538	67	NA
370	chrI	198713	199136	+	199134	125.403187	20.176254	198750	199134	385	NA
371	chrI	199207	199500	+	199263	105.537331	9.001713	199216	199445	230	NA
372	chrI	200600	200707	+	200628	93.121173	17.693022	200618	200647	30	NA
374	chrI	201230	201260	+	201232	2.483232	1.241616	201230	201260	31	NA
379	chrI	208739	208855	+	208811	8.070504	1.241616	208749	208829	81	NA
380	chrI	208957	208978	+	208960	2.793636	1.241616	208957	208978	22	NA
392	chrII	9730	9761	+	9761	1.241616	0.620808	9730	9761	32	NA
393	chrII	10705	10759	+	10759	10.864138	3.414443	10722	10759	38	NA
398	chrII	21476	21507	+	21476	2.483232	0.620808	21476	21507	32	NA
405	chrII	28477	28687	+	28687	24.521911	4.345655	28496	28687	192	NA
450	chrII	46559	46610	+	46583	14.89939	4.035251	46575	46595	21	NA
451	chrII	46742	46793	+	46778	40.662911	19.555446	46774	46782	9	NA
452	chrII	46895	46927	+	46895	1.862424	0.620808	46895	46927	33	NA
455	chrII	47420	47435	+	47420	1.55202	0.620808	47420	47435	16	NA
509	chrII	84505	84563	+	84547	3.10404	0.931212	84505	84563	59	NA
510	chrII	88005	88095	+	88049	22.03868	7.449694	88028	88060	33	NA
511	chrII	88164	88229	+	88226	4.035252	1.55202	88179	88226	48	NA
527	chrII	96281	96421	+	96402	15.209795	2.793635	96284	96421	138	NA
528	chrII	100386	100459	+	100386	3.10404	0.620808	100386	100457	72	NA
579	chrII	121717	121803	+	121728	13.657773	2.793635	121722	121779	58	NA
581	chrII	121891	121928	+	121928	4.035252	0.931212	121891	121928	38	NA
582	chrII	122302	122367	+	122311	3.724848	1.55202	122306	122353	48	NA
592	chrII	127747	127772	+	127751	2.793635	1.862423	127747	127772	26	NA
606	chrII	137822	137901	+	137861	3.724848	1.241616	137849	137893	45	NA
607	chrII	138078	138113	+	138078	1.241616	0.620808	138078	138113	36	NA
612	chrII	142151	142194	+	142175	2.483232	0.931212	142151	142194	44	NA
625	chrII	151430	151511	+	151458	22.038679	7.449694	151458	151495	38	NA
626	chrII	158662	158669	+	158669	1.55202	0.620808	158662	158669	8	NA
637	chrII	162979	163001	+	163001	1.55202	0.931212	162979	163001	23	NA
638	chrII	164114	164163	+	164114	2.793636	0.620808	164114	164163	50	NA
639	chrII	164245	164274	+	164245	2.793635	1.862423	164245	164274	30	NA
641	chrII	164451	164571	+	164539	4.035252	1.241616	164467	164544	78	NA
674	chrII	176478	176479	+	176478	1.55202	1.241616	176478	176479	2	NA
705	chrII	196091	196220	+	196133	9.001715	2.172827	196095	196195	101	NA
706	chrII	196266	196356	+	196333	35.696453	8.691309	196297	196333	37	NA
707	chrII	196684	196740	+	196698	9.001715	3.104039	196695	196737	43	NA
708	chrII	197938	197952	+	197938	1.55202	1.241616	197938	197952	15	NA
711	chrII	198465	198512	+	198486	2.483232	0.931212	198465	198512	48	NA
729	chrII	206056	206089	+	206056	1.55202	0.620808	206056	206089	34	NA
806	chrII	236995	237004	+	237004	1.241616	0.931212	236995	237004	10	NA
808	chrII	237183	237242	+	237240	4.966464	1.55202	237206	237242	37	NA
809	chrII	237652	237737	+	237690	4.345656	1.241616	237677	237723	47	NA
810	chrII	238447	238538	+	238523	69.530477	21.728273	238484	238533	50	NA
812	chrII	240741	240861	+	240834	3.414444	0.620808	240749	240834	86	NA
813	chrII	241647	241699	+	241674	27.936353	8.691309	241659	241683	25	NA
835	chrII	248727	248791	+	248791	2.793636	0.931212	248727	248791	65	NA
836	chrII	251119	251197	+	251162	7.760099	2.793635	251159	251189	31	NA
837	chrII	251492	251570	+	251535	8.380906	3.724847	251517	251560	44	NA
838	chrII	251616	251915	+	251717	54.941498	9.932925	251660	251820	161	NA
839	chrII	254600	254707	+	254646	14.278582	2.793635	254603	254661	59	NA
840	chrII	255064	255137	+	255076	4.345656	0.620808	255065	255137	73	NA
842	chrII	255182	255209	+	255183	2.172828	1.241616	255182	255209	28	NA
847	chrII	258250	258315	+	258264	8.69131	3.414443	258259	258298	40	NA
848	chrII	258363	258446	+	258446	2.483232	0.620808	258363	258446	84	NA
849	chrII	258529	258554	+	258554	1.241616	0.620808	258529	258554	26	NA
850	chrII	258671	258678	+	258678	1.241616	0.931212	258671	258678	8	NA
851	chrII	258836	258857	+	258842	1.241616	0.620808	258836	258857	22	NA
856	chrII	265382	265382	+	265382	185.311129	185.311129	265382	265382	1	NA
857	chrII	267618	267670	+	267618	2.483232	0.620808	267618	267670	53	NA
862	chrII	273997	274081	+	274029	9.001715	2.793635	274024	274081	58	NA
863	chrII	275876	275907	+	275893	1.55202	0.620808	275876	275907	32	NA
864	chrII	276724	276856	+	276816	175.999016	53.699875	276742	276829	88	NA
866	chrII	277730	277768	+	277730	1.862424	0.620808	277730	277768	39	NA
879	chrII	287858	287924	+	287858	2.793636	0.620808	287858	287924	67	NA
881	chrII	288252	288335	+	288252	27.005143	3.724847	288252	288322	71	NA
888	chrII	290449	290486	+	290460	1.55202	0.931212	290449	290486	38	NA
889	chrII	291674	291743	+	291719	3.414444	0.931212	291682	291743	62	NA
891	chrII	292236	292272	+	292268	1.55202	0.620808	292236	292272	37	NA
893	chrII	292448	292725	+	292634	34.765243	3.724847	292470	292666	197	NA
894	chrII	294213	294231	+	294213	1.241616	0.310404	294213	294231	19	NA
895	chrII	295785	295788	+	295785	2.483231	1.862423	295785	295788	4	NA
896	chrII	296277	296301	+	296282	7.449695	4.345655	296281	296296	16	NA
920	chrII	306209	306287	+	306271	27.005142	19.86585	306241	306279	39	NA
922	chrII	307149	307218	+	307191	4.65606	1.241616	307169	307203	35	NA
923	chrII	307432	307608	+	307596	6450.503467	1756.26527	307556	307600	45	NA
925	chrII	307698	308311	+	308040	320.957662	27.005139	307797	308213	417	NA
927	chrII	308494	308513	+	308494	2.172828	0.620808	308494	308513	20	NA
960	chrII	321166	321276	+	321166	5.587272	1.241616	321166	321276	111	NA
962	chrII	321779	321813	+	321779	2.483232	0.620808	321779	321813	35	NA
964	chrII	324267	324470	+	324413	12.416159	2.172827	324307	324413	107	NA
965	chrII	325510	325544	+	325512	1.862424	0.620808	325510	325544	35	NA
966	chrII	325651	325754	+	325702	28.557162	6.828886	325670	325730	61	NA
968	chrII	325893	325958	+	325911	5.276867	1.862423	325893	325950	58	NA
969	chrII	326043	326187	+	326055	27.005142	5.276866	326055	326117	63	NA
970	chrII	326243	326351	+	326316	69.530479	10.243329	326267	326332	66	NA
971	chrII	326939	327001	+	326963	4.65606	0.620808	326948	326993	46	NA
972	chrII	327117	327188	+	327117	1.862424	0.310404	327117	327188	72	NA
973	chrII	327907	327915	+	327907	1.55202	0.931212	327907	327915	9	NA
974	chrII	329292	329320	+	329299	2.172828	0.931212	329292	329320	29	NA
976	chrII	329844	329943	+	329915	25.142718	8.070501	329890	329943	54	NA
987	chrII	333904	333906	+	333904	1.241616	0.620808	333904	333906	3	NA
988	chrII	334185	334264	+	334193	6.828887	2.483231	334187	334232	46	NA
990	chrII	336296	336306	+	336300	1.55202	0.931212	336296	336306	11	NA
991	chrII	336476	336591	+	336516	19.865853	4.345655	336503	336577	75	NA
997	chrII	338539	338585	+	338560	1.862424	0.931212	338539	338585	47	NA
998	chrII	338712	338789	+	338767	4.656059	2.172827	338714	338784	71	NA
1000	chrII	339511	339816	+	339729	28.557164	4.656059	339570	339749	180	NA
1002	chrII	340959	341010	+	340994	28.867565	15.830599	340977	340994	18	NA
1004	chrII	341441	341497	+	341450	12.105753	5.276866	341446	341465	20	NA
1005	chrII	341592	341657	+	341631	5.587272	1.55202	341598	341653	56	NA
1006	chrII	341751	341798	+	341751	2.172828	0.931212	341751	341798	48	NA
1007	chrII	341981	342001	+	342001	2.483232	1.241616	341981	342001	21	NA
1016	chrII	344260	344322	+	344295	68.599265	17.382618	344267	344311	45	NA
1024	chrII	349586	349609	+	349604	5.587272	1.55202	349589	349609	21	NA
1025	chrII	349968	350106	+	350030	17.693024	4.966462	350015	350099	85	NA
1026	chrII	350140	350270	+	350182	23.901104	6.828886	350176	350217	42	NA
1030	chrII	352168	352180	+	352168	1.241616	0.310404	352168	352180	13	NA
1031	chrII	353550	353568	+	353568	1.241616	0.620808	353550	353568	19	NA
1034	chrII	356194	356306	+	356254	9.001715	1.862423	356194	356292	99	NA
1035	chrII	356361	356387	+	356375	2.793636	1.55202	356361	356387	27	NA
1036	chrII	356800	356906	+	356800	3.414444	0.620808	356800	356897	98	NA
1038	chrII	360217	360266	+	360266	1.241616	0.620808	360217	360266	50	NA
1039	chrII	360579	360710	+	360612	13.34737	5.897674	360589	360670	82	NA
1040	chrII	362281	362330	+	362330	2.172828	0.620808	362281	362330	50	NA
1041	chrII	362798	362910	+	362864	271.603418	58.355933	362841	362889	49	NA
1042	chrII	363310	363417	+	363389	5.897675	2.793635	363310	363417	108	NA
1044	chrII	363929	363954	+	363929	1.55202	0.310404	363929	363954	26	NA
1045	chrII	365856	365931	+	365921	21.417871	7.13929	365876	365921	46	NA
1047	chrII	369941	370043	+	369956	9.622524	1.55202	369956	370039	84	NA
1048	chrII	370093	370102	+	370093	4.035251	1.862423	370093	370102	10	NA
1049	chrII	370478	370548	+	370548	361.620547	100.881268	370525	370548	24	NA
1051	chrII	371387	371507	+	371463	46.250185	10.864137	371420	371470	51	NA
1053	chrII	371756	371813	+	371756	7.449695	2.172827	371756	371810	55	NA
1054	chrII	371868	372176	+	371952	38.179686	9.622521	371896	372066	171	NA
1056	chrII	372756	372781	+	372781	2.793636	1.241616	372756	372781	26	NA
1057	chrII	373434	373523	+	373523	18.624236	3.724847	373441	373523	83	NA
1059	chrII	373760	373805	+	373762	4.966463	2.483231	373762	373786	25	NA
1060	chrII	373966	374016	+	373990	2.483232	1.241616	373966	374016	51	NA
1062	chrII	375902	375959	+	375916	5.587271	2.483231	375910	375949	40	NA
1063	chrII	376318	376386	+	376377	3.724848	0.931212	376324	376379	56	NA
1064	chrII	376423	376543	+	376526	17.072217	6.828886	376475	376526	52	NA
1065	chrII	376700	376727	+	376700	2.172828	1.241616	376700	376727	28	NA
1067	chrII	378773	378796	+	378773	2.483232	1.241616	378773	378796	24	NA
1069	chrII	379142	379300	+	379158	18.624237	4.966462	379149	379296	148	NA
1071	chrII	379362	379476	+	379387	7.139291	2.793635	379376	379466	91	NA
1116	chrII	391869	391937	+	391919	21.417871	8.380905	391892	391922	31	NA
1126	chrII	401132	401151	+	401139	2.172828	0.620808	401132	401151	20	NA
1127	chrII	406101	406244	+	406116	30.109182	6.828886	406108	406229	122	NA
1129	chrII	406553	406782	+	406616	15.830603	2.172827	406562	406703	142	NA
1132	chrII	407339	407363	+	407363	6.518482	3.414443	407358	407363	6	NA
1133	chrII	407513	407659	+	407637	107.089349	17.382618	407555	407648	94	NA
1134	chrII	407775	407848	+	407839	2.793636	0.620808	407775	407848	74	NA
1136	chrII	408116	408257	+	408154	5.276868	1.55202	408126	408244	119	NA
1162	chrII	417355	417394	+	417394	7.760098	6.518482	417365	417394	30	NA
1164	chrII	418148	418188	+	418188	1.55202	0.931212	418148	418188	41	NA
1165	chrII	418307	418398	+	418375	77.911382	38.490084	418343	418395	53	NA
1167	chrII	419392	419603	+	419580	9.932927	1.862423	419423	419599	177	NA
1168	chrII	419767	419851	+	419767	5.897675	1.862423	419767	419835	69	NA
1169	chrII	419896	419912	+	419911	1.55202	0.931212	419896	419912	17	NA
1170	chrII	420071	420187	+	420184	36.938067	6.208078	420119	420184	66	NA
1171	chrII	420226	420329	+	420289	5.276868	1.55202	420226	420301	76	NA
1172	chrII	420511	420537	+	420511	1.862424	0.931212	420511	420537	27	NA
1183	chrII	425802	425829	+	425813	1.55202	0.620808	425802	425829	28	NA
1184	chrII	427116	427208	+	427134	47.181396	13.347368	427129	427153	25	NA
1185	chrII	427714	427764	+	427716	12.726561	3.414443	427716	427751	36	NA
1186	chrII	429553	429598	+	429566	10.864138	4.035251	429561	429582	22	NA
1202	chrII	434293	434320	+	434320	1.241616	0.620808	434293	434320	28	NA
1230	chrII	444981	445140	+	445038	24.211507	3.414443	444995	445107	113	NA
1247	chrII	453579	453648	+	453602	26.384335	12.72656	453596	453618	23	NA
