cluster	chr	start	end	strand	dominant_tss	tags	tags.dominant_tss	q_0.1	q_0.9	interquantile_width	shape.score
1	chrI	6530	6564	+	6548	9.312118	3.724847	6530	6562	33	9.64691569020765
3	chrI	7166	7189	+	7169	1.241616	0.620808	7166	7189	24	6.87744375108173
4	chrI	8084	8087	+	8084	1.241616	0.620808	8084	8087	4	2
5	chrI	9325	9411	+	9327	4.966464	1.241616	9327	9391	65	17.7672621813508
6	chrI	9442	9479	+	9442	3.414443	1.862423	9442	9468	27	7.46969462561915
7	chrI	11253	11343	+	11329	40.662913	17.693022	11275	11329	55	15.7402615413764
9	chrI	12335	12345	+	12345	1.241616	0.931212	12335	12345	11	2.80656119526269
10	chrI	12456	12466	+	12456	1.55202	1.241616	12456	12466	11	2.49746087783593
12	chrI	12673	12847	+	12778	57.114326	7.449694	12682	12778	97	27.2565225839097
13	chrI	12929	12958	+	12933	7.760099	2.172827	12931	12954	24	11.8385165463501
17	chrI	16935	17006	+	16975	16.761812	4.966462	16961	17006	46	15.2632481183623
18	chrI	18001	18042	+	18031	7.139292	1.241616	18006	18038	33	15.1865063167354
21	chrI	23335	23403	+	23384	6.828887	2.483231	23335	23403	69	15.295731069814
22	chrI	23765	23780	+	23780	5.276867	2.172827	23771	23780	10	6.55948556158521
23	chrI	24330	24375	+	24348	2.793636	0.931212	24330	24375	46	12.1361478596864
24	chrI	24618	24693	+	24637	9.001715	4.035251	24618	24691	74	14.2384426670898
25	chrI	24794	24856	+	24838	35.696451	17.693022	24828	24850	23	9.31272604956063
26	chrI	24982	25142	+	25000	39.4213	8.070501	24991	25098	108	25.2470040467885
27	chrI	25337	25355	+	25337	1.55202	1.241616	25337	25355	19	3.06669821699994
28	chrI	25781	25793	+	25781	1.862424	0.931212	25781	25793	13	5.39948890681046
32	chrI	30113	30164	+	30118	14.588985	7.449694	30118	30136	19	7.40544801689852
33	chrI	31026	31151	+	31108	48.112608	17.072215	31108	31145	38	12.9276867260467
34	chrI	31187	31263	+	31242	320.026426	122.609541	31212	31242	31	9.86276298529556
36	chrI	31515	31581	+	31521	36.627663	10.553733	31521	31572	52	16.2652324909534
37	chrI	31711	31950	+	31726	59.907958	7.13929	31713	31891	179	32.9978706807401
38	chrI	32084	32203	+	32097	5.897676	0.931212	32086	32174	89	19.5118441454708
39	chrI	32445	32481	+	32455	2.793636	1.241616	32445	32481	37	10.7252949501895
40	chrI	32671	32839	+	32679	13.036966	2.172827	32679	32816	138	24.5319998522646
41	chrI	33181	33185	+	33181	2.172828	1.241616	33181	33185	5	2.28762888893144
42	chrI	33270	33365	+	33359	1512.287807	1037.369836	33348	33362	15	4.6565029886931
43	chrI	33469	33557	+	33533	5.276868	0.931212	33470	33556	87	21.4113923193717
44	chrI	33630	34720	+	34258	491.679818	26.694735	33893	34394	502	56.3629074512611
46	chrI	34783	35107	+	35107	746.831792	381.17599	35057	35107	51	13.5988837446096
47	chrI	35511	35796	+	35793	285.571603	108.951769	35557	35793	237	30.052486527329
48	chrI	36460	36587	+	36525	715.791397	266.636951	36519	36567	49	13.8994360363561
49	chrI	36626	36800	+	36773	36.938068	14.278579	36643	36776	134	21.3878409902197
50	chrI	36837	36881	+	36881	2.172828	1.55202	36837	36881	45	6.3092322516541
51	chrI	37283	37422	+	37415	94.983597	51.216644	37378	37419	42	11.1419049831252
53	chrI	37728	37776	+	37748	1.241616	0.620808	37728	37776	49	8.42206476617281
56	chrI	38214	38294	+	38273	2.793636	0.620808	38214	38294	81	18.6879934733415
57	chrI	38404	38435	+	38420	1.55202	0.620808	38404	38435	32	9.60964047443681
58	chrI	38563	38594	+	38564	5.58727	3.104039	38563	38565	3	1.93531500337936
59	chrI	39163	39279	+	39215	379.934379	73.255321	39201	39253	53	19.648472321286
60	chrI	39797	39816	+	39816	1.241616	0.931212	39797	39816	20	3.50628571886745
61	chrI	40015	40031	+	40031	1.241616	0.931212	40015	40031	17	3.31606918764597
63	chrI	40333	40385	+	40334	4.65606	1.55202	40333	40364	32	10.604760155132
66	chrI	40921	41216	+	40974	14.278584	1.241616	40949	41198	250	33.7825941122636
68	chrI	41250	41404	+	41347	21.417873	4.345655	41250	41375	126	27.8234629695602
69	chrI	42107	42231	+	42155	354.481262	71.703301	42154	42185	32	17.7307294537122
70	chrI	42279	42486	+	42305	53.699882	13.036964	42305	42423	119	28.2144036647894
72	chrI	43125	43211	+	43205	5.897675	1.862423	43125	43211	87	19.1409557684166
73	chrI	43434	43539	+	43469	48.423012	13.036964	43438	43499	62	19.6754550031514
74	chrI	43751	43798	+	43782	4.966463	2.172827	43754	43787	34	8.00979082966493
75	chrI	45654	46305	+	45810	2536.931102	486.713316	45749	45877	129	28.8739223091034
76	chrI	46469	46537	+	46470	4.035252	0.620808	46470	46537	68	16.750440309374
77	chrI	46606	46678	+	46606	5.897676	1.241616	46606	46656	51	17.1130021502441
78	chrI	46738	46922	+	46748	11.484946	1.862423	46748	46914	167	26.3337534949892
79	chrI	47087	47089	+	47089	5.276867	3.414443	47087	47089	3	1.99827620534362
80	chrI	47186	47318	+	47205	4.65606	0.931212	47205	47315	111	20.1720673968854
81	chrI	47372	47508	+	47382	7.139292	0.620808	47382	47464	83	23.0543647062241
82	chrI	47540	47671	+	47644	31.350797	15.830599	47601	47645	45	10.0910878326761
83	chrI	47716	47897	+	47717	25.14272	9.622521	47717	47858	142	21.3363372660965
84	chrI	48005	48172	+	48056	42.214936	7.449694	48016	48095	80	22.0828944862281
85	chrI	48444	49116	+	48555	293.331703	40.352507	48511	48795	285	34.9796447747298
87	chrI	49502	49533	+	49533	2.483232	0.931212	49502	49533	32	10.7781953111478
89	chrI	49975	50008	+	50005	3.10404	0.620808	49976	50007	32	11.25
90	chrI	50474	50480	+	50475	1.241616	0.620808	50474	50480	7	4.21103238308641
91	chrI	50724	50724	+	50724	1.862423	1.862423	50724	50724	1	0
93	chrI	51106	51120	+	51106	1.241616	0.931212	51106	51120	15	3.1695748748723
94	chrI	51209	51262	+	51225	2.483232	0.931212	51209	51262	54	10.9667384228594
96	chrI	54181	54270	+	54181	5.897676	1.241616	54181	54252	72	19.558199519096
97	chrI	54892	54921	+	54892	1.55202	0.931212	54892	54921	30	4.76434834073011
98	chrI	56531	56574	+	56555	4.65606	1.55202	56531	56574	44	12.7363875341686
99	chrI	56666	56693	+	56688	7.139291	2.793635	56666	56693	28	10.7669289028993
100	chrI	56951	57006	+	57006	5.587271	1.862423	56964	57006	43	10.9698180608452
102	chrI	57425	57532	+	57506	1719.948018	713.618568	57496	57524	29	13.1308753693458
103	chrI	57608	57724	+	57608	4.966464	0.931212	57608	57724	117	21.6803912808813
106	chrI	61254	61309	+	61300	1175.189173	466.847467	61274	61300	27	11.9507120041041
107	chrI	61434	62017	+	61971	326.234519	58.976741	61516	61972	457	43.9904518506142
108	chrI	62086	62334	+	62151	40.352514	4.966462	62127	62296	170	31.1673031656608
109	chrI	62748	62842	+	62776	267.878569	86.292284	62773	62819	47	15.8740455697207
111	chrI	63456	63512	+	63486	3.724848	0.931212	63484	63512	29	12.0561222308975
112	chrI	63893	63954	+	63898	1.862424	0.620808	63893	63954	62	13.40664208082
113	chrI	64077	64078	+	64078	1.55202	1.241616	64077	64078	2	0.721928094887362
114	chrI	64260	64291	+	64289	7.139291	3.724847	64266	64290	25	8.5131468688713
